Floor,Garden,Layout,Price,Region,Size,Year
25,兴达公寓,2室2厅,107,通州-马驹桥-科,76,2017
13,中铁华侨城和园,4室2厅,750,大兴-瀛海镇-公,136,2017
6,北营房小区,3室1厅,600,西城-阜成门-北,66,1988
22,首开璞瑅,3室2厅,698,丰台-方庄-方,102,2017
3,丽京花园,2室2厅,613,顺义-天竺-首,153,1999
29,万芳园二区,3室2厅,880,丰台-玉泉营-万,126,2007
21,天和人家,2室1厅,820,朝阳-南沙滩-军,106,2004
16,公园懿府,3室2厅,800,丰台-和义-槐,115,2018
25,泛海容郡,3室2厅,2900,朝阳-朝阳公园东-星,209,2015
32,光彩国际公寓,4室2厅,2200,朝阳-朝外大街-工,272,2003
6,宏泽福湾,2室2厅,46,北京周边-秦皇岛-2,84,2017
25,芳星园三区,2室1厅,455,丰台-方庄-群,65,1995
18,金港国际,3室2厅,1180,朝阳-大望路-西,150,2006
15,美景东方,3室2厅,1080,朝阳-华威桥-松,158,2004
5,京基鹭府,3室4厅,1735,昌平-北七家-定,420,2011
10,金地未未来,1室1厅,200,顺义-顺义城-军,50,2015
32,UHN国际村,4室2厅,1638,朝阳-太阳宫-曙,164,2008
17,中冶德贤公馆,4室2厅,1250,大兴-旧宫-德,178,2016
5,长阳半岛中央城,2室1厅,105,房山-长阳-京,39,2018
13,大河庄苑,3室2厅,1450,海淀-中关村-苏,143,2005
20,万科大都会,2室2厅,3299,朝阳-国贸CBD-东,342,2013
1,一渡青青小镇(别墅),3室3厅,317,房山-房山区其他-一,131,2016
19,金世纪嘉园(忠实里西区),2室2厅,980,东城-东花市-忠,105,2005
28,东湖湾(西区),1室1厅,800,朝阳-望京西-利,70,2008
18,华业玫瑰东方,3室2厅,1450,朝阳-国贸CBD-延,172,2007
28,首城国际中心,3室1厅,847,朝阳-劲松东-广,89,2011
3,珠江壹千栋,5室3厅,2200,昌平-北七家-定,503,2013
5,棠颂别墅,7室3厅,2800,大兴-瀛海镇-凉,650,2012
8,亿城西山公馆,2室1厅,950,海淀-西北旺-软,119,2012
29,朗琴园,1室1厅,560,西城-广安门外-手,58,2005
7,霞公府,4室2厅,5006,东城-王府井-霞,434,2012
6,双榆树北路小区,1室1厅,430,海淀-双榆树-中,42,1993
6,北亚花园,2室1厅,290,昌平-北七家-东,81,2000
6,德茂佳苑,2室1厅,360,大兴-瀛海镇-京,85,2008
29,燕达首尔国际村,3室2厅,200,北京周边-燕郊-燕,140,2012
28,阳光上东,3室1厅,1900,朝阳-酒仙桥-东,198,2008
25,太阳公元,2室2厅,2279,朝阳-太阳宫-太,152,2013
5,首开熙悦汇,2室1厅,105,房山-长阳-长,40,2018
6,西辛南区,2室1厅,235,顺义-顺义城-西,57,1998
2,裕京花园,5室3厅,1999,顺义-中央别墅区-榆,300,2010
21,金蝉南里,2室1厅,450,朝阳-垡头-金,86,2003
6,管道局小区,2室1厅,161,房山-城关-房,69,1995
7,万科幸福汇,2室2厅,210,房山-窦店-大,81,2012
15,富水良嘉园,3室1厅,330,房山-良乡-昊,85,2015
15,金隅景和园(朝新嘉园东里七区),2室2厅,405,朝阳-东坝-驹,84,2004
4,优山美地C区,4室3厅,2400,顺义-中央别墅区-裕,366,2007
4,世茂萨拉曼卡,3室2厅,200,北京周边-廊坊-福,120,2016
22,怡海花园,2室2厅,800,丰台-玉泉营-恒,132,2004
25,金融街融汇,2室1厅,305,大兴-天宫院南-庆,70,2012
18,潮白河孔雀城紫藤园,2室2厅,135,北京周边-廊坊-新,88,2017
29,合生霄云路8号,4室2厅,5299,朝阳-三元桥-霄,450,2010
15,国瑞城中区,3室2厅,1650,东城-崇文门-国,145,2006
15,中铁花溪渡,3室2厅,450,顺义-马坡-顺,93,2014
18,泛海国际兰海园,3室2厅,3100,朝阳-朝阳公园东-辛,231,2008
24,莲宝路10号院,2室1厅,440,海淀-万寿路-莲,68,1997
3,龙湾别墅,5室2厅,1500,顺义-中央别墅区-裕,249,2000
6,西湖新村,3室2厅,395,昌平-北七家-立,120,1997
6,兰园小区,2室1厅,450,海淀-马连洼-圆,73,1996
34,潮白河孔雀城英国宫春晓园,4室2厅,210,北京周边-廊坊-白,129,2014
28,嘉都国际,2室1厅,138,北京周边-燕郊-京,88,2015
28,东湖湾(西区),1室1厅,800,朝阳-望京西-利,70,2008
29,朗琴园,1室1厅,560,西城-广安门外-手,58,2005
27,芳城园一区,2室1厅,405,丰台-方庄-方,64,1996
32,融科橄榄城(二期),3室2厅,1390,朝阳-望京东-宏,140,2008
5,水青庭,5室3厅,1380,顺义-后沙峪-天,301,2004
9,世纪星城,3室2厅,718,通州-果园-通,134,2007
7,样本,3室2厅,570,通州-通州区其他-辛,165,2007
18,潮白河孔雀城紫藤园,2室2厅,135,北京周边-廊坊-新,88,2017
28,融科橄榄城(一期),3室2厅,1255,朝阳-望京东-阜,133,2007
29,水榭花城,2室2厅,158,北京周边-保定-向,82,2017
27,凤凰国际,1室1厅,46,北京周边-保定-友,52,2017
27,芳城园一区,2室2厅,585,丰台-方庄-方,97,1996
1,丽嘉花园,6室3厅,2620,顺义-天竺-开,411,2006
17,南庭新苑北区,2室1厅,320,丰台-和义-槐,61,2012
6,前进花园石门苑,4室2厅,370,顺义-顺义城-石,98,2005
6,宁静之都檀城西区,2室1厅,230,密云-密云-新,89,2008
24,玺萌鹏苑,1室1厅,225,丰台-草桥-嘉,33,2002
15,新城阳光,2室1厅,450,通州-梨园-北,94,2007
6,新源街小区,3室1厅,410,朝阳-三里屯-新,57,1984
11,北京城建上河湾(北区),2室2厅,210,密云-密云-京,85,2013
24,莲宝路10号院,2室1厅,440,海淀-万寿路-莲,68,1997
18,知春里,3室1厅,710,海淀-双榆树-双,80,1990
6,永安家园,2室1厅,87,密云-密云-太,68,1998
28,京棉新城,1室1厅,355,朝阳-八里庄-朝,66,2010
7,安宁里(北区),2室1厅,439,海淀-清河-安,75,2000
25,通州万国城MOMA,3室2厅,800,通州-乔庄-玉,141,2018
18,北京城建畅悦居,2室1厅,160,昌平-沙河-平,76,2013
18,TBD云集中心,2室1厅,380,昌平-北七家-七,83,2015
4,欣桥家园,2室1厅,158,通州-土桥-张,90,2010
6,站东社区,3室1厅,800,东城-建国门内-建,77,1996
28,潮白河孔雀城英国宫香醍园,2室2厅,160,北京周边-廊坊-滨,89,2013
21,中海紫御公馆,2室1厅,1080,东城-永定门-永,90,2010
23,铂悦山,3室2厅,102,北京周边-唐山-大,97,2017
34,潮白河孔雀城英国宫春晓园,4室2厅,210,北京周边-廊坊-白,129,2014
25,燕化星城健德四里,2室1厅,252,房山-阎村-紫,84,2000
9,中海国际公馆,3室2厅,650,顺义-顺义城-顺,138,2017
18,华侨城,4室2厅,1400,朝阳-垡头-金,188,2011
6,建材城西二里,2室1厅,370,海淀-西三旗-建,58,1996
6,八里庄北里小区,2室1厅,440,朝阳-石佛营-朝,73,1986
18,康桥水郡,3室2厅,2300,海淀-万柳-泉,160,2004
21,天朗园(北街家园一区),2室2厅,400,昌平-沙河-高,93,2009
12,大苑海淀名著,3室2厅,1230,海淀-田村-阜,130,2014
28,潮白家园三期,4室2厅,170,北京周边-廊坊-7,108,2014
27,东区国际公寓,2室2厅,850,朝阳-国贸CBD-慈,110,2005
2,中海尚湖世家,4室2厅,830,昌平-沙河-于,171,2012
16,宏大北园,2室1厅,380,大兴-西红门-欣,89,2008
2,八仙别墅,5室2厅,1300,昌平-北七家-七,251,2006
5,迎风四里,2室1厅,95,房山-燕山-迎,48,1980
3,御汤山,4室2厅,1680,昌平-小汤山北-安,477,2012
6,望都新地南区,2室2厅,415,昌平-北七家-立,89,2012
4,誉天下,4室2厅,1350,顺义-天竺-榆,295,2008
18,太月园(南区),3室2厅,1077,海淀-知春路-罗,119,1999
18,三里河二区住宅小区B区,4室2厅,1880,西城-月坛-三,157,1996
13,南线阁41号院,3室2厅,1213,西城-广安门内-南,134,2001
14,首开熙悦汇,2室2厅,115,房山-长阳-长,42,2015
3,优山美地B区,6室3厅,6100,顺义-中央别墅区-榆,972,2004
6,苏庄一里,2室1厅,290,房山-良乡-苏,83,2003
27,国美第一城3号院,2室1厅,475,朝阳-朝青-青,74,2006
11,润泽悦溪,3室2厅,1450,朝阳-北苑-水,152,2000
22,大方居,2室1厅,315,通州-九棵树-半,90,2008
27,芳城园一区,2室1厅,405,丰台-方庄-方,64,1996
20,首尔甜城,1室1厅,80,北京周边-燕郊-燕,40,2016
32,融科橄榄城(二期),3室2厅,1390,朝阳-望京东-宏,140,2008
29,美林湾,1室1厅,120,北京周边-燕郊-神,53,2010
4,温哥华森林,5室3厅,1700,昌平-北七家-立,410,2015
18,太月园(南区),3室2厅,1500,海淀-知春路-罗,204,1999
18,中兴和园,2室1厅,210,北京周边-燕郊-燕,92,2011
18,康桥水郡,3室2厅,2300,海淀-万柳-泉,160,2004
21,天朗园(北街家园一区),2室2厅,400,昌平-沙河-高,93,2009
12,大苑海淀名著,3室2厅,1230,海淀-田村-阜,130,2014
28,潮白家园三期,4室2厅,170,北京周边-廊坊-7,108,2014
27,东区国际公寓,2室2厅,850,朝阳-国贸CBD-慈,110,2005
2,中海尚湖世家,4室2厅,830,昌平-沙河-于,171,2012
16,宏大北园,2室1厅,380,大兴-西红门-欣,89,2008
2,八仙别墅,5室2厅,1300,昌平-北七家-七,251,2006
5,迎风四里,2室1厅,95,房山-燕山-迎,48,1980
3,御汤山,4室2厅,1680,昌平-小汤山北-安,477,2012
6,望都新地南区,2室2厅,415,昌平-北七家-立,89,2012
4,誉天下,4室2厅,1350,顺义-天竺-榆,295,2008
18,太月园(南区),3室2厅,1077,海淀-知春路-罗,119,1999
18,三里河二区住宅小区B区,4室2厅,1880,西城-月坛-三,157,1996
13,南线阁41号院,3室2厅,1213,西城-广安门内-南,134,2001
14,首开熙悦汇,2室2厅,115,房山-长阳-长,42,2015
3,优山美地B区,6室3厅,6100,顺义-中央别墅区-榆,972,2004
6,苏庄一里,2室1厅,290,房山-良乡-苏,83,2003
27,国美第一城3号院,2室1厅,475,朝阳-朝青-青,74,2006
6,团结湖南三条小区,2室1厅,340,朝阳-团结湖-团,54,1982
11,润泽悦溪,3室2厅,1450,朝阳-北苑-水,152,2000
22,大方居,2室1厅,315,通州-九棵树-半,90,2008
6,绿城百合公寓(北区),3室2厅,449,房山-阎村-京,141,2008
4,威尼斯花园,4室3厅,1000,昌平-北七家-立,315,2008
17,玉安园,1室1厅,280,丰台-草桥-嘉,51,1998
31,天洋城南区,3室2厅,265,北京周边-燕郊-汉,118,2008
3,公共艺术小镇(别墅),5室3厅,700,北京周边-张家口-4,365,2015
8,中海城圣朝菲,3室2厅,742,朝阳-十里河-成,100,2009
5,雲溪,4室2厅,360,密云-密云-密,197,2015
33,棕榈泉国际公寓,3室2厅,2400,朝阳-朝阳公园西-公,220,2007
6,瑞海三区(瑞海家园三区),3室1厅,470,大兴-西红门-宏,135,2002
1,远洋LAVIE,7室5厅,12500,朝阳-来广营-康,1202,2017
4,鲁能7号别墅,5室3厅,1200,顺义-马坡-顺,343,2016
15,北京城建琨廷,2室2厅,260,房山-窦店-于,85,2013
30,潮白河孔雀城紫藤园,4室2厅,215,北京周边-廊坊-新,121,2013
4,润泽庄园,5室2厅,2250,朝阳-北苑-水,258,2014
17,易构空间,2室2厅,880,朝阳-大望路-百,126,2008
3,丽京花园,3室2厅,660,顺义-天竺-首,159,1993
6,密西花园,3室2厅,300,密云-密云-新,123,2000
9,双景馨悦,3室2厅,50,北京周边-唐山-滦,122,2017
28,华侨城,1室1厅,635,朝阳-垡头-金,87,2011
6,海怡庄园(西区),2室1厅,165,密云-密云-京,68,2000
28,福泰花园(西区),3室2厅,158,北京周边-廊坊-侯,99,2018
6,观音寺新区,4室2厅,456,大兴-观音寺-双,176,2003
6,玉林里,2室1厅,390,丰台-右安门外-玉,54,1991
6,莲宝路10号院,1室1厅,375,海淀-万寿路-莲,50,1997
22,格调小区,1室1厅,790,西城-马连道-马,80,2006
20,文慧园,2室1厅,570,海淀-小西天-文,65,2003
28,潮白河孔雀城榕枫园,2室2厅,130,北京周边-廊坊-侯,78,2012
11,八达岭孔雀城(公寓),3室2厅,109,北京周边-张家口-八,95,2018
16,溪城家园(西区),2室1厅,368,昌平-立水桥-陈,80,2010
1,府学胡同小区,1室1厅,193,东城-交道口-府,13,2016
5,长阳半岛中央城,2室2厅,102,房山-长阳-京,38,2015
18,太月园(南区),3室2厅,1500,海淀-知春路-罗,204,1999
18,中兴和园,2室1厅,210,北京周边-燕郊-燕,92,2011
21,潮白河孔雀城学府澜湾,2室2厅,112,北京周边-廊坊-侯,76,2014
24,夏威夷南岸,3室1厅,350,北京周边-燕郊-北,127,2008
4,鲁能7号别墅,5室3厅,1200,顺义-马坡-顺,343,2016
15,北京城建琨廷,2室2厅,260,房山-窦店-于,85,2013
30,潮白河孔雀城紫藤园,4室2厅,215,北京周边-廊坊-新,121,2013
4,润泽庄园,5室2厅,2250,朝阳-北苑-水,258,2014
17,易构空间,2室2厅,880,朝阳-大望路-百,126,2008
3,丽京花园,3室2厅,660,顺义-天竺-首,159,1993
7,黄寺大街24号院,3室1厅,1100,西城-德胜门-黄,85,1991
6,密西花园,3室2厅,300,密云-密云-新,123,2000
9,双景馨悦,3室2厅,50,北京周边-唐山-滦,122,2017
